DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 85220,766 ; 49,09175 ; 59869,234 ; 14,156074 ; 0,28835952 ; 0,0020698642
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 4142,8735 ; 1,37425 ; 536,775 ; 2,9174597 ; 2,1229467 ; 0,0306758
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 38393,426 ; 29,1345 ; 328,38425 ; 23,521572 ; 0,80734426 ; 0,05643741
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3370,0493 ; 1,4065 ; 642,7515 ; 2,7201176 ; 1,933962 ; 0,0277632
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 4543,4473 ; 1,2865 ; 489,56174 ; 2,692913 ; 2,0932088 ; 0,02852945
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 103400,516 ; 48,72775 ; 59898,047 ; 15,090991 ; 0,30970016 ; 0,0021485477
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 8775,664 ; 5,01825 ; 498,7605 ; 6,2708073 ; 1,2496004 ; 0,045561902
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 55194,64 ; 30,27475 ; 537,5588 ; 26,561459 ; 0,87734693 ; 0,043852333
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 4953,9595 ; 1,328 ; 525,19525 ; 2,9390078 ; 2,2131083 ; 0,02879711
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 4838,353 ; 1,29925 ; 529,3038 ; 2,2369366 ; 1,7217138 ; 0,022079265
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3059,419 ; 1,4655 ; 512,065 ; 2,8534613 ; 1,9470906 ; 0,034883097
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 56596,06 ; 38,52925 ; 234,43 ; 27,621437 ; 0,7168952 ; 0,04686337
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 63497,926 ; 20,974 ; 2031,386 ; 22,783035 ; 1,0862513 ; 0,02718357
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 6011,23 ; 1,549 ; 529,3632 ; 3,1288686 ; 2,019928 ; 0,027677195
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 121236,23 ; 65,07 ; 32114,734 ; 14,758607 ; 0,22681123 ; 0,0033361563
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 68709,6 ; 41,86425 ; 47527,98 ; 15,398605 ; 0,36782232 ; 0,0028306812
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 84257,16 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,035433814
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 57034,51 ; 39,858 ; 233,2215 ; 27,61837 ; 0,6929191 ; 0,04652163
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 50229,1 ; 7,1735 ; 2179,3066 ; 1,9231163 ; 0,2680862 ; 0,0026701726
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 71741,33 ; 25,571 ; 445,17874 ; 23,941359 ; 0,93626994 ; 0,03142194
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 2529,845 ; 1,27625 ; 491,2515 ; 2,2165232 ; 1,7367468 ; 0,02978253
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 68965,24 ; 39,27375 ; 233,1315 ; 27,62613 ; 0,70342475 ; 0,038748194
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 19698,104 ; 5,3305 ; 521,3105 ; 6,1982126 ; 1,1627825 ; 0,024881221
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 4655,76 ; 1,36275 ; 619,63824 ; 2,80708 ; 2,0598643 ; 0,025866598
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 2740,4456 ; 1,39875 ; 487,757 ; 2,8463368 ; 2,0349147 ; 0,037363235
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 3079,3713 ; 1,406 ; 586,5452 ; 2,4589834 ; 1,7489213 ; 0,027490577
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 44398,22 ; 39,70475 ; 233,14626 ; 27,55105 ; 0,6938981 ; 0,058958355
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 3929,4375 ; 1,317 ; 525,80774 ; 2,946155 ; 2,2370198 ; 0,03206694
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 9108,008 ; 5,317 ; 498,73126 ; 5,431116 ; 1,0214626 ; 0,038531344
BBGPIntegratedRelevanceModel ; DEFAULT ; BBGPEngine ; 75633,305 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,039474044
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 45683,0 ; 28,55 ; 475,291 ; 25,817072 ; 0,9042758 ; 0,05118788
SOARIntegratedRelevanceModel ; FORGETTING ; SOAREngine ; 5303,666 ; 1,3705 ; 567,8298 ; 2,8463368 ; 2,0768602 ; 0,025918288
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 140176,55 ; 50,0325 ; 61817,297 ; 14,060987 ; 0,28103706 ; 0,0018541565
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 100084,1 ; 180,48975 ; 0,0 ; 29,855526 ; 0,16541398 ; 0,029830437
