SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 1931906,8 ; 135,25475 ; 593,072 ; 13,654925 ; 0,10095709 ; 7,046476E-4
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 53714,914 ; 3,03725 ; 849,5655 ; 0,0 ; 0,0 ; 0,0
BDIIntegratedRelevanceModel ; DEFAULT ; BDIEngine ; 1617130,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,00125689
BBGPIntegratedRelevanceModel ; FORGETTING ; BBGPEngine ; 10612,194 ; 1,7385 ; 883,52875 ; 0,0 ; 0,0 ; 0,0
BBGPIntegratedRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 23210,47 ; 3,66025 ; 1117,9907 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 1293828,1 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 0,001570962
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 114669,55 ; 3,80225 ; 1546,389 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 1009638,8 ; 53,98875 ; 953,73474 ; 0,0 ; 0,0 ; 0,0
SOARIntegratedRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
BDIIntegratedRelevanceModel ; FORGETTING ; BDIEngine ; 25960,55 ; 1,62625 ; 857,99 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 2166899,0 ; 134,891 ; 114812,82 ; 4,999269 ; 0,037061546 ; 1,5080627E-4
BDIIntegratedRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 732211,8 ; 54,008 ; 958,9158 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 731509,9 ; 54,00775 ; 955,264 ; 0,0 ; 0,0 ; 0,0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 2125146,2 ; 406,002 ; 0,0 ; 20,325548 ; 0,05006268 ; 9,5643057E-4
