relevanceModel;memoryStrategy;engine;storing;retrieving;oblivion;comparisions;activeBeliefs;pages;utilitySum;cpuEfficiency;memEfficiency
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;481199,47;80,78025;450,9745;27,413702;0,33936143;0,005644056
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;17747,457;1,8335;721,4015;0,10699707;0,058356732;4,29E-04
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;244445,53;80,768;454,79224;27,379253;0,3389864;0,010995973
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;8225,271;2,22475;780,58075;0,13093697;0,058854684;8,17E-04
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;353548,22;293,4755;0;29,87142;0,10178506;0,008449038
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;428855,72;293,4755;0;29,87142;0,10178506;0,006965378
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;13329,899;1,78975;734,65076;0,45779347;0,25578627;0,002214086
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;41836,31;5,581;799,167;1,497453;0,26831266;0,003005246
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;523723,22;293,4755;0;29,87142;0,10178506;0,005703666
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;16803,07;1,92825;686,331;0,7299403;0,37855065;0,003084292
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;11001,434;1,58;693,2285;0,6716554;0,42509836;0,00374521
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;7353,7046;2,00825;757,35675;0,5710269;0,28434056;0,003825394
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;451610,4;280,78024;0;28,802074;0,10257871;0,006377638
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;346491,7;58,76525;487,2785;25,629738;0,43613765;0,007294346
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;305935;280,78024;0;28,802074;0,10257871;0,009414443
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;360900,75;280,78024;0;28,802074;0,10257871;0,007980608
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;168462,44;60,64325;486,35626;25,21927;0,4158628;0,014550194
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;20345,098;2,68075;778,1215;1,2201266;0,45514378;0,004338026
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;6906,8193;1,76375;765,0335;0,29374355;0,1665449;0,002017864
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;14165,403;1,76625;805,043;0;0;0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;482224,56;286,154;0;29,0611;0,10155755;0,006026466
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;387337,4;286,154;0;29,0611;0,10155755;0,007502787
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;333831,12;286,154;0;29,0611;0,10155755;0,00870533
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;16165,572;1,695;710,5365;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;204245,72;70,4275;454,00226;27,193426;0,38611946;0,013024561
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;10090,806;1,52775;702,6515;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;377247,3;70,3815;454,04526;27,206131;0,3865523;0,007125983
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;465968,62;293,54724;0;29,1137;0,099178925;0,006247996
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;382940,47;293,54724;0;29,1137;0,099178925;0,00760267
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;11824,898;1,6025;730,536;0;0;0
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;6654,8354;1,8705;746,6715;0;0;0
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;16924,713;1,81625;711,0695;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;20230,889;2,29525;805,73376;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;392132,03;75,4205;435,0415;26,911211;0,3568156;0,006787492
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;190691,88;75,42875;447,3535;26,912601;0,356795;0,013789638
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;309375,44;293,54724;0;29,1137;0,099178925;0,009410476
DefaultRelevanceModel ; FORGETTING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;8129,3374;2,04075;771,63;0;0;0
DefaultRelevanceModel ; DEFAULT ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;515377,75;279,0095;0;25,887718;0,09278437;0,005023057
DefaultRelevanceModel ; STORING_RETRIEVING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;441069,16;74,714;474,76025;24,04628;0,32184437;0,005393758
DefaultRelevanceModel ; DEFAULT ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;410542,28;279,0095;0;25,887718;0,09278437;0,006305737
DefaultRelevanceModel ; STORING_RETRIEVING ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;234452,27;75,1695;478,4135;23,959663;0,3187418;0,010015057
DefaultRelevanceModel ; FORGETTING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;11647,4;1,59725;707,14276;0;0;0
DefaultRelevanceModel ; STORING_RETRIEVING ; BDIEngine ; 0.0 ; 0.0 ; 0.0 ;41683,707;7,2765;797,28577;1,1323954;0,15562363;0,002280455
DefaultRelevanceModel ; DEFAULT ; BBGPEngine ; 0.0 ; 0.0 ; 0.0 ;343272,22;279,0095;0;25,887718;0,09278437;0,007541454
DefaultRelevanceModel ; FORGETTING ; SOAREngine ; 0.0 ; 0.0 ; 0.0 ;19947,049;1,994;714,6473;0;0;0
